Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level
0.0,69.6,14.4,0.0,8.4,0.0,4.7,3.0,15.7,60.1,36002,8.2
0.0,94.2,1.2,0.0,1.4,0.0,3.1,0.1,7.4,90.1,42220,7.3
0.0,93.0,1.6,0.0,3.4,0.1,1.2,0.7,7.7,86.6,40843,3.3
0.0,93.4,1.1,0.0,2.1,0.0,0.2,3.2,8.7,84.9,48795,3.1
0.0,84.4,1.6,0.1,10.4,0.0,0.8,2.7,5.0,80.7,54889,2.4
0.0,81.5,4.6,0.1,7.4,0.0,4.2,2.3,14.4,72.4,40481,5.1
0.0,88.0,2.3,0.0,6.3,0.0,1.8,1.6,15.2,75.7,38211,3.8
0.0,97.8,0.0,0.0,1.4,0.0,0.0,0.8,6.0,91.7,63750,5.7
0.0,92.2,2.8,0.5,2.0,0.2,0.3,1.9,9.5,83.5,41671,3.6
0.0,91.6,2.9,0.0,3.5,0.0,1.3,0.6,14.4,79.2,44317,5.1
0.0,85.2,6.1,0.2,3.7,0.0,3.1,1.7,8.8,79.5,51255,6.4
0.0,70.1,6.5,0.1,9.6,0.0,12.1,1.5,22.3,59.7,38903,9.5
0.0,85.5,5.3,0.0,6.7,0.2,1.2,1.2,8.1,78.6,44953,4.4
0.0,63.3,12.8,0.0,11.4,0.0,11.7,0.9,25.5,47.3,35377,3.1
3.5725,64.1,0.7,0.0,31.9,0.0,1.0,2.3,2.2,62.5,69146,3.9
0.0,83.0,1.6,0.1,6.9,0.0,6.0,2.5,15.7,73.9,39028,4.7
2.94,89.3,3.1,0.3,1.3,0.0,4.1,1.9,18.5,75.9,35371,5.5
0.0,90.2,4.9,0.2,2.1,0.0,1.7,0.9,7.3,85.0,43550,4.4
2.7775,96.1,0.9,0.0,1.5,0.0,0.6,0.8,7.7,89.6,47301,1.8
0.0,85.1,8.8,0.0,2.8,0.0,1.4,1.9,24.5,63.4,35304,9.8
0.0,86.9,0.0,0.0,11.3,0.0,1.8,0.0,4.2,83.1,66250,6.1
0.0,91.5,0.4,0.5,3.5,0.0,0.9,3.2,12.9,81.7,48878,7.3
0.0,96.1,1.2,0.0,1.4,0.0,0.3,1.0,4.5,92.2,47543,5.4
0.0,91.5,0.0,0.0,8.5,0.0,0.0,0.0,0.0,91.5,45625,10.2
16.665,87.8,1.9,0.0,5.8,0.0,3.6,0.8,7.8,80.8,49340,3.4
2.5,88.9,4.3,0.1,2.1,0.0,2.7,1.8,25.8,67.2,37038,10.7
0.0,86.5,4.3,0.1,4.4,0.0,2.0,2.7,17.2,74.0,38443,6.7
0.0,87.7,1.9,0.0,7.0,0.0,1.3,2.1,9.0,80.4,52028,6.0
0.0,86.7,3.0,0.2,5.8,0.2,1.4,2.6,10.3,78.5,38010,6.5
0.0,95.1,0.9,0.0,2.3,0.0,0.3,1.3,5.4,90.2,46908,5.2
5.773333333333333,96.1,0.3,0.1,1.8,0.0,0.3,1.4,6.9,90.2,49945,2.9
0.0,93.4,1.0,0.0,3.6,0.0,0.6,1.4,9.6,84.5,47554,4.0
0.0,92.9,0.9,0.0,3.2,0.0,1.4,1.6,4.3,90.0,47509,2.8
1.42,69.7,1.2,0.1,26.0,0.0,1.4,1.5,4.4,66.6,62203,3.8
3.7,96.9,0.6,0.1,0.5,0.0,1.0,0.9,7.1,91.2,50940,4.8
9.09,95.4,0.3,0.0,2.3,0.0,0.7,1.3,8.7,87.7,48529,2.3
0.0,96.1,0.8,0.0,0.7,0.0,1.2,1.3,6.2,91.1,37674,3.3
0.0,84.7,2.2,0.0,11.9,0.0,0.4,0.7,2.0,83.4,51862,3.4
0.0,22.9,58.8,1.1,1.5,0.0,9.8,5.8,28.6,7.9,30755,16.9
8.629999999999999,68.2,1.4,0.2,22.9,0.0,3.7,3.6,16.2,57.8,35748,4.6
2.275,83.2,0.9,0.2,13.7,0.0,0.8,1.1,5.1,79.0,53531,3.5
1.1046153846153846,97.5,1.0,0.0,0.0,0.0,1.0,0.4,6.7,91.9,40870,4.1
0.5126666666666667,79.0,18.3,0.0,1.4,0.0,0.0,1.2,24.0,55.0,50030,4.9
0.0,87.9,3.2,0.0,2.3,0.0,0.0,6.6,15.3,77.8,35501,9.8
0.3506666666666666,97.0,0.8,0.0,1.6,0.0,0.7,0.0,2.6,94.9,40880,2.3
0.44625,97.1,1.7,0.0,0.3,0.0,0.5,0.4,3.8,94.1,44183,4.7
0.0,97.8,0.9,0.0,0.0,0.0,0.1,1.1,14.5,85.5,46713,10.6
1.2333333333333334,93.9,0.1,0.4,1.9,0.0,1.6,2.2,5.9,89.6,43505,2.7
0.0,88.7,8.3,0.0,0.3,0.0,1.0,1.7,20.0,69.7,32500,13.1
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,46571,3.8
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,84.4,43285,2.8
0.0,80.1,10.8,2.5,1.4,0.0,4.1,1.1,25.8,59.8,30269,12.1
1.90625,95.6,0.3,2.7,0.3,0.0,0.1,0.9,3.1,95.4,32125,3.4
1.4081818181818182,96.4,1.1,0.5,0.8,0.0,0.6,0.6,10.6,86.4,37029,5.4
0.6614285714285714,79.0,8.0,0.5,5.6,0.0,1.7,5.2,6.3,75.0,41825,4.8
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,78.3,42083,0.0
0.0,89.7,4.6,0.0,3.8,0.0,0.0,2.0,3.6,86.1,53654,6.7
0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,94.1,36917,1.8
0.0,96.3,3.7,0.0,0.0,0.0,0.0,0.0,0.7,95.5,52656,0.0
2.25,97.2,0.0,0.0,0.2,0.0,2.6,0.0,6.1,91.0,52214,3.2
0.0,82.8,10.9,0.5,1.8,0.0,2.8,1.2,20.9,66.6,31624,11.4
0.0,85.8,6.3,0.6,5.3,0.0,1.7,0.2,9.5,78.0,40849,9.8
0.0,98.8,0.1,0.0,0.8,0.0,0.0,0.2,5.6,93.2,36235,9.6
0.0,79.5,6.7,0.0,10.1,0.0,1.3,2.4,10.5,70.3,50515,9.0
0.0,89.6,6.1,0.0,0.0,0.0,1.8,2.5,9.3,82.1,30588,26.2
1.8657142857142859,91.3,0.2,0.5,4.9,0.0,0.0,3.1,11.8,79.8,51185,6.8
