Zip,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
10969,500,17.4,1.6,27.2,28.8
10970,3806,3.9,1.1,3.9,5
10973,861,5.6,4.1,23.7,27.8
10974,1197,21.2,5.8,29.6,35.4
10975,144,0,0,43.8,43.8
10976,783,2.4,4.6,30.3,34.9
10977,16664,13.3,5,9.3,14.3
10979,126,13.5,0,23.8,23.8
10980,5093,18.2,1.9,13.1,15
10983,1962,12.2,4.3,17.7,22
10984,983,4.9,1.3,4.9,6.2
10985,50,0,0,20,20
10986,624,9.5,7.4,12,19.4
10987,1523,4.4,2.2,35.9,38.1
10988,352,4.3,0,50.6,50.6
10989,3641,9.6,2,7.8,9.8
10990,7839,8.3,2.5,21.3,23.8
10992,3369,5.2,3,11.1,14.1
10993,1576,19.5,2.5,19.1,21.6
10994,2684,25.4,2.5,14.4,16.9
10996,864,5.2,0.7,28.9,29.6
10998,1076,3.1,3.7,24.3,28
11001,9473,24.8,13.7,44.9,58.6
11003,12886,37.5,24.1,15.3,39.4
11004,5223,49.1,26.3,5.5,31.8
11005,1609,3.7,4.5,2.1,6.6
11010,8155,40.5,26.4,14.7,41.1
11020,1957,30.5,18.1,31.7,49.8
11021,8457,26.3,17,24.4,41.4
11023,3168,25.1,14.7,31.2,45.9
11024,2344,25.3,8.5,28.6,37.1
11030,6702,12.1,10.3,36.8,47.1
11040,13261,36.3,30.3,13.2,43.5
11050,12088,22.1,9.2,24.1,33.3
11096,2705,22.5,11.1,42.8,53.9
11101,15249,4.5,18.2,39.3,57.5
11102,15696,12.3,11,36.2,47.2
11103,18102,13.7,16.3,46.4,62.7
11104,12389,12.7,22,53.5,75.5
11105,17039,13.9,18.3,47.4,65.7
11106,18893,18.6,16.8,34.4,51.2
11109,3745,0,0,0.4,0.4
11201,29843,11.9,5.2,48,53.2
11203,30501,10.8,14.7,53.7,68.4
11204,26143,8.3,11.2,61.3,72.5
11205,17217,10.9,15.7,44,59.7
11206,32205,12.2,7.5,30.9,38.4
11207,36481,10.6,5.6,39.9,45.5
11208,36331,12.2,6.5,43.2,49.7
11209,33086,13,11.2,55.1,66.3
11210,24112,13.3,12.8,56.9,69.7
11211,41188,6.2,4.9,43.6,48.5
11212,34726,14.1,9,37.1,46.1
11213,27172,6.4,5.3,70.9,76.2
11214,33767,14.3,12.9,44.3,57.2
11215,31062,4.6,4.4,73.7,78.1
11216,27036,3.4,5.2,71.9,77.1
11217,18500,5.6,6.5,62,68.5
11218,26127,10.9,9.9,53.1,63
11219,27560,7.6,8.8,54.1,62.9
11220,30849,6.2,8.9,63.1,72
11221,33855,3.1,4.2,61.5,65.7
11222,18689,7,6.5,62.3,68.8
11223,30075,17.2,9.9,53.5,63.4
11224,20250,10.8,5.5,13.4,18.9
11225,24966,7.7,9,62.2,71.2
11226,40343,8.4,7.7,70.5,78.2
11228,16224,11.3,14.3,58.7,73
11229,33197,19,16.9,44.3,61.2
11230,32557,13.6,14.3,47.1,61.4
11231,16738,9.6,6.4,62.7,69.1
11232,9278,6.7,7.1,66.9,74
11233,31542,5.3,4.2,59.1,63.3
11234,34111,21.8,13.9,29.2,43.1
11235,35857,19.2,12.1,33.1,45.2
11236,35249,17.1,6.3,27.2,33.5
11237,17984,5.5,4.9,67.8,72.7
11238,26760,4.9,6.3,64.3,70.6
11239,6802,2,2,4,6
11354,22580,21.2,14.7,19,33.7
11355,30375,19.1,17.9,19.2,37.1
11356,8250,11.1,10.9,37.6,48.5
11357,16133,36.8,12.6,14.8,27.4
11358,13885,19.8,22,38.9,60.9
11360,9372,17.6,6.6,5.2,11.8
11361,11233,24.1,13.5,27,40.5
11362,7430,43.9,8.8,10.1,18.9
11363,2757,13.5,9.1,42.5,51.6
11364,14071,44,21.1,10.1,31.2
11365,16321,35.5,25.7,10.5,36.2
11366,4861,34.4,27.1,18.1,45.2
11367,15817,37.4,27.9,8.8,36.7
11368,30363,13.7,12.5,23.3,35.8
11369,12813,22.2,15.5,40.1,55.6
11370,10192,26.7,17.1,22.9,40
11372,26224,25.8,17.8,38.8,56.6
11373,33903,20.9,15.6,25.8,41.4
11374,20911,27.3,18.8,22.4,41.2
11375,35211,25,23.7,24.2,47.9
11377,33979,16.4,12.4,36.7,49.1
11378,13833,16,12.7,46.5,59.2
11379,14690,19.5,15.5,33.8,49.3
11385,38073,8.6,11.3,61.8,73.1
11411,6288,29.8,33.9,25.1,59
11412,11788,20.1,20.7,39.3,60
11413,12866,24.2,15.5,30.6,46.1
11414,11501,23.1,10.9,10.1,21
11415,9503,17.1,19.9,33.3,53.2
11416,7771,9.8,11.8,51.4,63.2
11417,9827,13.5,11.8,49.7,61.5
11418,11842,10.5,11.8,58.5,70.3
11419,13512,11.2,13.6,58.2,71.8
11420,14156,19.9,15,41.5,56.5
11421,12907,16.8,7.9,60.6,68.5
11422,10277,32.3,17.6,13.6,31.2
11423,10362,27.3,16.4,35.6,52
11426,6690,32,26.7,25.3,52
11427,7970,33,25.1,24.8,49.9
11428,6010,10.1,25.3,52.2,77.5
11429,7833,19.7,19.5,38.7,58.2
11432,19948,16.7,16.5,29.8,46.3
11433,11597,14.4,12.5,32.3,44.8
11434,22077,15,11.5,21.3,32.8
11435,19719,23.6,17.8,26.2,44
11436,6099,15.3,18.6,31.1,49.7
11501,7721,34.7,13.5,25.6,39.1
11507,2478,40.8,10.8,7.2,18
11509,1302,29.2,8.2,20,28.2
11510,11306,22.8,15,35.9,50.9
11514,1775,41.9,23.9,5.9,29.8
11516,2296,22.7,8.6,40.1,48.7
11518,4254,27.8,7.9,41.2,49.1
11520,14434,30.3,7.4,34.3,41.7
11530,9606,34.8,13.9,38.8,52.7
11542,10501,29.3,8.5,21,29.5
11545,4615,27.3,6.7,21.6,28.3
11547,254,26.8,5.9,45.3,51.2
11548,551,31.8,7.8,21.1,28.9
11550,17931,24.2,14.8,20.4,35.2
11552,7611,35.7,20.8,19.2,40
