,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
12419,1.25,89.2,5.4,2.5,0.0,0.0,0.0,2.9,4.3,89.2,19583,29.6,338,16.6,2.1,37.3,39.4
12423,0.0,93.1,2.9,0.0,3.4,0.0,0.5,0.0,1.4,92.3,25919,21.8,700,10.1,14.1,20.3,34.4
12427,0.0,94.9,0.0,0.0,3.6,0.0,1.5,0.0,1.5,94.9,31959,25.2,438,0.0,5.0,53.0,58.0
12429,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,55625,9.2,102,0.0,0.0,55.9,55.9
12430,4.861666666666667,93.5,0.2,0.2,0.0,0.0,2.2,3.9,13.0,84.3,38117,6.8,1181,6.5,4.0,22.0,26.0
12431,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,96.8,20583,26.8,752,3.9,11.4,16.0,27.4
12432,0.0,98.5,0.0,0.0,0.0,0.0,0.0,1.5,3.5,96.5,20852,18.8,237,30.8,0.0,25.3,25.3
12433,0.0,84.5,1.8,0.0,2.7,0.0,3.5,7.5,2.7,81.8,37286,4.4,353,1.7,5.7,2.5,8.2
12434,1.38875,84.8,10.7,0.0,0.0,0.0,0.0,4.5,0.0,84.8,20227,12.3,467,10.5,1.3,35.5,36.8
12435,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,93.6,20588,9.5,266,7.1,7.1,18.4,25.5
12439,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,25714,1.0,508,2.6,1.0,23.8,24.8
12440,0.6492857142857142,85.2,10.5,0.2,1.5,0.0,0.0,2.5,3.7,83.1,31182,14.5,1141,16.2,1.5,36.0,37.5
12442,0.0,97.1,1.1,0.0,1.2,0.0,0.0,0.6,1.2,95.9,25879,20.1,1563,2.2,1.3,19.4,20.7
12443,0.0,94.5,2.2,0.2,1.2,0.0,0.4,1.6,4.0,90.7,38698,6.4,1928,27.0,8.6,17.0,25.6
12446,1.586666666666667,90.0,2.8,0.0,0.1,0.0,4.7,2.4,7.1,87.0,26113,10.5,2766,10.6,8.0,18.9,26.9
12449,0.5055555555555555,82.5,5.8,0.0,2.7,0.0,1.8,7.2,4.1,81.0,23996,10.7,1281,18.0,6.0,7.9,13.9
12451,2.1166666666666663,86.2,1.9,0.0,0.0,0.0,11.9,0.0,13.9,84.2,35547,9.7,718,5.4,5.4,32.6,38.0
12455,2.0,95.9,0.7,0.0,0.5,0.0,0.6,2.3,7.4,89.9,17137,16.1,1959,6.4,5.9,23.7,29.6
12456,1.8522222222222224,90.1,3.7,0.6,0.0,0.0,0.0,5.6,13.5,77.6,24167,5.8,238,86.1,0.0,13.9,13.9
12457,4.4228571428571435,95.6,0.0,0.0,2.0,0.0,0.0,2.4,1.2,94.3,22472,18.9,609,9.9,7.6,38.1,45.7
12458,0.6833333333333333,65.2,13.6,0.7,1.3,0.0,9.1,10.2,21.4,61.2,25455,14.1,1279,8.2,4.7,17.4,22.1
12461,0.0,86.5,0.1,0.0,3.6,5.3,0.0,4.5,6.3,84.1,27067,4.5,906,13.8,5.1,21.4,26.5
12463,0.9255555555555556,83.7,3.3,2.3,0.6,0.0,4.1,6.0,5.8,83.7,36388,4.7,758,13.9,7.3,28.8,36.1
12464,0.0,85.4,0.0,0.0,0.0,0.0,14.6,0.0,0.0,85.4,36757,14.6,820,14.4,7.0,42.9,49.9
12466,1.5914285714285714,95.5,0.3,0.0,1.8,0.0,0.0,2.3,3.3,92.2,36068,2.2,1102,13.6,6.3,20.7,27.0
12468,0.0,99.7,0.0,0.0,0.3,0.0,0.0,0.0,0.5,99.2,22083,16.0,883,2.2,2.3,26.2,28.5
12469,0.0,98.6,0.0,0.0,0.0,0.0,0.5,1.0,4.0,95.1,28125,4.6,648,6.5,2.2,32.1,34.3
12470,0.0,56.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,56.0,22969,5.1,305,19.3,0.0,20.7,20.7
12472,1.6023076923076922,92.0,1.0,0.0,2.1,0.0,0.3,4.6,1.9,90.9,29598,10.3,796,12.7,1.5,46.7,48.2
12473,0.0,99.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,99.8,35066,5.1,586,0.0,2.0,15.0,17.0
12474,3.174285714285714,97.1,2.9,0.0,0.0,0.0,0.0,0.0,0.4,96.8,25478,19.3,934,6.6,5.5,39.3,44.8
12477,0.0,91.5,1.9,0.1,1.2,0.0,1.6,3.7,7.0,86.9,28416,10.3,8597,12.8,6.1,27.3,33.4
12480,0.0,98.0,0.0,0.0,0.0,0.0,0.0,2.0,5.4,92.6,20551,5.8,626,6.1,5.1,38.8,43.9
12481,0.0,96.9,0.0,1.8,0.0,0.0,0.0,1.3,4.4,92.5,25076,14.1,744,15.7,12.8,20.6,33.4
12482,0.0,92.8,0.0,0.0,0.0,0.0,0.0,7.2,6.3,86.5,20987,3.4,300,8.0,0.0,5.0,5.0
12483,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28583,7.9,375,28.3,13.3,42.4,55.7
12484,0.92,89.7,0.0,0.0,1.6,0.0,2.6,6.1,4.3,88.0,31642,6.6,1549,12.1,3.4,27.2,30.6
12485,0.0,94.8,0.0,0.0,0.8,0.0,0.0,4.4,4.4,94.8,29274,6.1,1171,6.3,7.0,45.2,52.2
12486,1.6442857142857144,99.7,0.0,0.0,0.3,0.0,0.0,0.0,5.2,94.4,41343,3.4,697,25.7,2.0,19.5,21.5
12487,0.9406666666666668,90.8,2.2,0.0,0.2,0.0,5.4,1.4,9.9,87.2,35833,14.7,1444,8.0,5.3,18.1,23.4
12489,5.556,47.9,32.9,1.0,0.5,0.0,7.2,10.4,34.7,30.4,10795,26.1,190,10.5,16.8,34.7,51.5
12491,0.0,92.7,0.8,0.0,0.0,0.0,0.1,6.4,3.2,89.7,30500,19.4,813,22.9,9.3,13.3,22.6
12493,0.0,95.9,2.2,0.0,0.0,0.0,0.0,1.9,13.0,83.9,57594,0.0,187,0.0,0.0,45.5,45.5
12494,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,49053,1.1,566,6.4,2.5,35.3,37.8
12496,3.708888888888888,99.2,0.0,0.0,0.2,0.0,0.3,0.3,3.7,95.8,23904,12.3,2333,3.6,4.0,19.7,23.7
12498,1.9177777777777776,89.3,3.5,0.0,3.3,0.0,1.2,2.8,3.3,88.3,40234,13.6,3255,17.7,4.5,27.4,31.9
12501,1.032,90.8,6.7,0.3,0.5,0.0,0.3,1.4,6.4,87.4,33095,8.4,1255,13.8,4.1,36.5,40.6
12502,0.0,85.9,5.5,0.0,5.5,0.0,0.0,3.1,1.9,85.1,35368,14.8,786,9.2,1.0,31.7,32.7
12503,0.0,96.4,1.7,0.0,0.5,0.0,0.9,0.5,4.3,93.2,35592,8.9,493,4.1,4.7,27.8,32.5
12507,0.0,92.0,3.6,0.0,4.4,0.0,0.0,0.0,0.0,92.0,26339,7.7,91,0.0,0.0,94.5,94.5
12513,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,32177,0.0,187,42.2,11.2,8.6,19.8
12514,0.0,94.0,1.3,0.0,2.7,0.0,1.3,0.7,2.1,93.2,40799,3.6,1444,5.3,6.0,19.1,25.1
12515,1.1426666666666667,94.7,3.3,0.0,0.7,0.0,1.3,0.0,23.4,71.3,30246,8.5,587,6.6,0.0,15.2,15.2
12516,4.2718181818181815,93.0,0.6,0.0,2.7,0.0,0.0,3.6,1.5,92.2,31042,21.5,1130,9.6,1.2,20.3,21.5
12517,6.25,80.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,80.0,21667,5.8,302,11.9,6.0,16.2,22.2
12518,0.0,93.6,0.4,0.0,1.2,0.0,1.6,3.2,11.8,84.7,40601,2.1,2771,17.3,3.4,28.9,32.3
12520,1.8458333333333328,95.7,0.0,0.0,1.5,1.1,0.8,0.9,7.2,89.2,41862,3.7,1108,13.4,7.8,50.0,57.8
12521,1.6933333333333331,97.0,0.0,0.0,0.7,0.0,0.0,2.3,1.3,95.7,45272,8.6,1307,9.3,4.6,12.4,17.0
12522,1.2344444444444445,93.9,0.4,0.0,2.0,0.0,3.3,0.3,9.2,88.1,29009,10.8,2257,7.6,4.3,17.8,22.1
12523,0.0,96.3,0.4,0.0,1.6,0.0,0.0,1.7,4.0,93.1,35067,7.6,872,8.4,4.5,10.1,14.6
12525,0.0,95.1,0.9,0.0,0.0,0.0,0.7,3.4,4.1,93.7,42138,5.0,1342,7.1,3.4,17.9,21.3
12526,1.2,92.6,1.1,0.0,1.5,0.0,1.4,3.4,11.1,83.6,34732,6.6,1985,6.3,5.5,43.0,48.5
12528,0.8,88.9,4.6,0.0,1.6,0.0,2.1,2.8,10.3,80.9,34456,9.3,5640,7.8,4.2,23.8,28.0
12529,1.3891666666666669,98.3,0.0,0.0,0.4,0.0,1.0,0.3,7.6,91.8,26962,10.4,1873,11.7,7.6,24.8,32.4
12531,0.0,93.1,1.8,0.0,1.8,0.0,0.0,3.3,1.4,92.0,37458,1.1,1322,17.5,8.6,13.3,21.9
12533,0.0,87.7,2.9,0.6,4.5,0.0,1.2,3.1,7.5,82.6,40720,4.4,9768,9.5,2.7,7.7,10.4
12538,0.0,85.6,5.2,0.1,4.4,0.0,2.9,1.7,11.2,78.1,28981,7.9,5314,27.3,4.7,8.2,12.9
12542,0.0,93.0,3.3,0.0,1.9,0.0,0.4,1.5,4.8,88.4,36228,5.7,2628,13.4,5.4,23.3,28.7
12543,0.759090909090909,71.2,19.3,0.2,1.6,0.3,1.9,5.7,19.9,60.5,28470,10.5,1495,9.3,8.4,19.3,27.7
12545,0.0,89.0,4.2,1.1,0.6,0.0,3.0,2.2,6.5,86.8,33783,10.2,2570,10.2,6.5,31.4,37.9
12546,0.0,89.3,3.7,0.0,2.9,0.0,0.8,3.3,16.7,74.6,27000,9.7,1703,13.4,6.9,31.4,38.3
12547,1.65,93.9,0.8,0.0,0.8,0.0,1.8,2.7,8.7,88.4,39688,8.3,1119,11.8,1.8,21.3,23.1
12548,1.082,79.2,12.1,0.0,0.8,0.0,6.4,1.5,16.1,69.6,31469,14.8,626,7.3,2.6,14.1,16.7
12550,2.7783333333333338,53.1,20.6,0.4,1.8,0.0,19.6,4.6,35.7,40.8,28282,19.7,22058,16.1,5.5,36.1,41.6
12561,0.0,87.0,4.2,0.4,4.3,0.0,2.1,1.9,9.9,81.2,21805,15.7,6989,10.9,2.3,17.5,19.8
12565,6.301999999999999,93.5,0.9,0.0,1.9,0.0,0.0,3.8,1.8,91.7,22740,24.6,686,6.3,10.9,52.5,63.4
12566,0.0,94.2,4.0,0.0,0.1,0.0,0.5,1.1,6.7,88.4,38679,11.9,4251,13.6,6.5,12.2,18.7
12567,2.348333333333333,97.3,0.5,0.0,1.1,0.0,0.5,0.6,4.1,93.7,31731,11.4,1587,9.5,4.8,27.4,32.2
12569,0.0,86.3,4.9,0.0,3.6,0.0,3.1,2.1,6.8,82.5,38106,7.9,4317,16.1,6.0,10.1,16.1
12571,0.0,91.2,2.6,0.5,1.8,0.0,2.0,2.0,5.6,88.1,34974,8.2,4582,14.7,3.4,19.2,22.6
12572,0.0,92.1,3.3,0.0,1.8,0.0,1.8,1.1,4.3,89.9,37012,9.1,4271,11.5,6.1,20.9,27.0
12575,0.25666666666666665,81.2,11.8,0.0,1.9,0.0,3.0,2.1,17.0,69.3,60609,0.0,816,4.8,2.7,8.3,11.0
12577,0.0,87.0,11.3,0.0,0.0,0.0,0.5,1.2,6.0,82.0,47219,5.0,616,12.7,1.3,12.7,14.0
12578,1.5176923076923077,94.0,2.0,0.1,0.8,0.0,0.1,3.0,1.7,92.4,37969,6.8,943,13.6,2.2,23.4,25.6
12580,0.5,92.7,2.2,0.7,0.9,0.0,0.7,2.8,4.8,89.2,35256,7.2,1803,6.8,4.0,25.9,29.9
12581,0.6990909090909091,96.4,1.9,0.0,0.0,0.0,0.0,1.8,7.1,89.3,44269,4.7,1168,12.9,3.8,22.2,26.0
12582,0.0,66.5,19.3,0.5,0.5,0.0,10.2,3.1,12.8,62.7,30419,4.1,1517,6.3,0.5,5.0,5.5
12583,1.587142857142857,93.9,0.5,0.0,1.9,0.0,2.3,1.4,7.0,89.9,27557,16.3,1004,7.7,4.3,29.4,33.7
12585,0.0,86.4,10.4,0.0,1.2,0.0,0.0,2.0,0.0,86.4,50917,13.3,366,5.5,0.0,33.6,33.6
12586,0.0,81.9,6.4,0.0,1.7,0.0,8.2,1.8,14.8,74.9,32601,9.0,4639,9.2,1.8,32.1,33.9
12589,1.616153846153846,81.7,9.6,0.2,1.7,0.0,4.1,2.7,17.8,70.5,32179,18.3,5136,8.7,7.0,11.5,18.5
12592,0.0,93.2,5.9,0.0,0.9,0.0,0.0,0.0,1.1,92.1,20718,12.5,559,14.0,5.5,34.7,40.2
12594,0.51,84.4,7.0,0.0,0.4,0.0,5.0,3.2,19.7,73.3,31026,18.0,1711,12.0,3.0,11.5,14.5
12601,0.0,57.7,27.6,0.4,2.8,0.0,6.1,5.4,16.1,50.2,22313,21.3,17651,13.2,8.2,28.5,36.7
12719,0.8333333333333334,95.5,3.4,0.0,0.6,0.0,0.5,0.0,5.2,90.8,30083,11.6,766,8.1,7.8,31.9,39.7
12721,1.0313333333333332,83.2,6.5,1.4,0.8,0.1,5.3,2.5,12.7,78.8,33109,7.8,2692,7.7,9.0,21.0,30.0
12723,3.518333333333333,74.7,9.1,0.0,3.7,0.0,9.3,3.2,12.9,71.1,32770,12.9,1178,8.9,8.8,31.0,39.8
12726,0.0,90.7,3.1,0.5,0.4,0.0,2.9,2.4,7.1,86.5,42854,13.5,918,6.0,6.0,27.9,33.9
12729,0.3971428571428571,89.7,1.6,0.0,1.3,0.0,0.6,6.9,3.1,89.4,24250,20.4,945,9.6,0.8,21.4,22.2
12732,0.0,96.7,0.0,0.0,2.6,0.0,0.7,0.0,0.7,96.7,30685,15.3,697,14.2,7.9,17.2,25.1
12733,0.0,67.2,12.2,1.7,1.5,0.0,11.3,6.1,22.4,61.4,12069,58.6,1182,3.7,1.0,5.7,6.7
12734,2.055454545454545,95.2,0.0,0.0,0.0,0.0,3.7,1.1,32.1,67.9,30505,4.3,660,21.7,2.1,21.7,23.8
12737,0.0,90.1,1.0,0.0,5.4,0.0,2.1,1.4,12.9,79.9,38750,11.0,1289,9.1,6.7,7.8,14.5
12740,0.0,89.3,1.9,0.0,0.0,0.0,6.8,2.0,12.4,83.7,36190,13.0,1064,10.1,7.1,14.9,22.0
12742,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,23125,0.0,101,0.0,22.8,39.6,62.4
12746,1.6666666666666667,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36488,1.0,521,15.0,0.0,24.6,24.6
12747,2.5166666666666666,72.6,14.4,0.0,9.7,0.0,0.7,2.6,11.7,61.7,27600,24.7,973,20.8,11.3,18.2,29.5
12748,0.4764285714285714,94.5,1.5,0.0,1.7,0.0,2.0,0.2,11.2,85.4,28089,7.6,1272,7.7,6.1,37.4,43.5
12749,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37283,17.9,445,11.2,12.8,18.0,30.8
12751,0.0,72.5,19.7,0.0,1.5,0.0,2.2,4.1,12.2,62.5,25556,26.0,503,4.6,2.6,1.8,4.4
12758,0.7142857142857143,83.2,6.0,0.0,0.4,0.0,6.5,3.9,5.9,79.6,26278,22.7,3084,8.6,3.2,22.7,25.9
12759,0.4046153846153846,74.3,5.5,0.0,1.1,0.0,17.8,1.3,23.7,69.4,12094,33.7,1349,7.0,1.8,9.9,11.7
12762,8.335,97.5,0.0,0.0,0.0,0.0,2.5,0.0,16.8,83.2,21292,32.9,416,13.9,4.8,12.7,17.5
12763,0.0,92.3,4.2,0.0,0.0,0.0,2.1,1.4,22.3,73.2,26181,16.2,562,9.1,10.3,10.9,21.2
12764,1.6666666666666667,90.1,5.3,1.3,1.9,0.0,0.8,0.6,2.3,88.6,27354,12.6,1415,11.2,8.6,21.1,29.7
12765,1.2985714285714285,89.9,3.7,0.0,0.0,0.0,0.0,6.5,0.0,89.9,32500,3.1,446,7.4,8.5,3.6,12.1
12768,3.708888888888888,98.8,0.0,1.2,0.0,0.0,0.0,0.0,31.5,67.3,25000,2.7,1028,8.4,10.2,12.2,22.4
12771,12.5,78.8,9.7,0.7,2.4,0.0,3.7,4.7,8.4,75.7,29637,13.5,6334,7.8,7.7,42.2,49.9
12775,1.752857142857143,82.0,6.9,0.0,5.4,0.0,3.3,2.5,9.3,76.0,47313,4.3,1529,8.2,5.6,13.3,18.9
12776,2.61,94.9,1.7,0.5,0.2,0.0,0.4,2.3,4.7,90.9,34756,9.2,2104,7.0,4.3,34.9,39.2
12777,0.0,96.1,1.0,0.4,2.3,0.0,0.0,0.2,2.6,93.4,37813,5.5,598,6.9,3.5,19.6,23.1
12778,8.75,94.7,0.0,0.0,3.6,0.0,0.0,1.7,4.1,90.6,33504,5.4,1143,3.0,34.3,35.9,70.2
12779,2.585,57.2,14.8,0.0,0.0,0.0,27.1,0.8,36.5,49.3,19654,41.6,1605,8.9,8.2,11.4,19.6
12780,0.8586666666666666,94.3,1.2,0.0,0.0,0.0,2.8,1.7,7.3,91.5,22246,17.0,1063,10.0,11.3,20.5,31.8
12783,0.0,87.6,8.1,1.0,1.4,0.0,0.4,1.4,15.5,75.2,20970,12.9,1147,14.3,11.9,17.8,29.7
12785,0.0,90.4,6.8,0.0,0.0,0.0,0.0,2.8,12.2,78.2,28750,9.2,488,2.5,10.0,21.7,31.7
12786,2.858,91.6,0.0,8.4,0.0,0.0,0.0,0.0,0.0,91.6,48500,11.2,817,1.8,23.3,25.2,48.5
12787,0.0,97.6,0.0,0.0,2.4,0.0,0.0,0.0,11.1,86.5,26058,6.4,203,8.9,0.0,54.2,54.2
12788,1.3373333333333333,69.7,18.0,1.2,0.4,0.0,4.3,6.4,16.8,62.7,24194,12.9,1431,3.3,7.9,20.5,28.4
12789,1.812857142857143,80.7,7.2,0.0,1.8,0.0,2.0,8.4,22.9,64.9,26544,9.7,1808,7.5,5.5,8.3,13.8
12790,1.0875,88.5,4.1,0.4,1.9,0.0,3.7,1.4,12.6,80.5,32069,9.7,2919,11.1,7.1,27.2,34.3
12791,0.0,83.4,2.1,0.0,7.4,0.0,0.0,7.1,0.0,83.4,36967,0.6,433,9.2,4.8,31.9,36.7
12792,0.0,98.9,0.0,0.0,1.1,0.0,0.0,0.0,0.0,98.9,29338,14.4,164,5.5,8.5,15.2,23.7
12803,0.0,95.4,2.0,0.2,0.7,0.0,0.4,1.3,2.4,93.5,30242,8.0,3821,19.9,7.0,18.1,25.1
12809,2.1169230769230767,98.9,0.2,0.0,0.0,0.0,0.1,0.9,0.6,98.3,29048,17.8,1909,9.2,4.0,28.0,32.0
12810,2.7783333333333338,99.2,0.0,0.0,0.0,0.0,0.5,0.3,3.1,96.6,26536,7.6,399,8.0,5.0,15.3,20.3
12814,0.0,87.6,6.2,0.0,0.0,0.0,6.1,0.0,3.7,87.6,29211,3.0,1720,9.1,3.1,23.3,26.4
12815,0.0,96.2,0.0,0.0,0.0,0.0,0.0,3.8,0.6,95.6,28482,8.8,1171,6.5,5.0,15.3,20.3
12816,1.64375,96.6,1.5,0.0,0.6,0.0,0.3,1.1,1.1,95.8,29241,9.8,2553,6.0,3.9,39.5,43.4
12817,0.0,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.6,99.3,30291,11.2,2204,8.2,5.4,18.5,23.9
12819,0.0,98.6,0.0,0.0,0.0,0.0,0.0,1.4,0.6,98.0,31500,11.6,277,11.2,0.0,21.7,21.7
12822,0.0,97.1,0.8,0.0,0.0,0.0,0.0,2.1,3.4,93.7,26198,11.9,2945,8.9,7.1,33.1,40.2
12824,2.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,97.3,27163,3.9,996,3.9,4.3,22.7,27.0
12827,1.0385714285714285,95.4,1.9,0.1,1.2,0.0,0.0,1.4,2.0,94.0,31218,7.5,1847,8.9,7.1,24.0,31.1
12828,0.385,98.3,0.5,0.0,0.0,0.0,0.2,1.1,1.2,97.7,27363,8.0,3995,9.7,4.2,28.0,32.2
12831,0.0,96.1,1.9,0.0,0.3,0.0,0.8,0.9,2.8,94.3,39563,5.1,6628,4.1,0.2,6.4,6.6
12833,0.0,95.0,0.5,0.4,0.8,0.0,0.0,3.3,0.6,94.5,35103,10.9,1927,8.4,4.4,10.3,14.7
12834,3.1166666666666667,98.6,0.1,0.3,0.3,0.0,0.0,0.7,2.0,96.9,30785,6.6,2951,7.5,1.6,46.2,47.8
12835,1.8519999999999999,96.8,0.0,0.0,0.0,0.0,0.3,3.0,1.0,96.0,29219,6.8,3020,11.2,9.1,14.1,23.2
12837,2.7783333333333338,99.5,0.0,0.0,0.0,0.0,0.1,0.4,0.1,99.5,30246,5.0,346,0.9,0.0,21.1,21.1
12838,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,33750,8.1,253,1.6,0.0,32.4,32.4
12842,4.1675,87.6,0.9,0.1,0.1,0.0,0.0,11.3,0.0,87.6,17244,10.5,1543,10.8,12.5,22.4,34.9
12843,0.0,93.2,0.0,0.0,0.0,0.0,0.0,6.8,1.4,91.9,21719,8.4,439,3.6,4.6,13.9,18.5
12845,0.6490909090909089,97.0,0.9,0.0,1.2,0.0,0.2,0.7,1.9,95.4,31027,7.8,3712,8.3,4.9,16.5,21.4
12846,0.5915384615384616,99.7,0.2,0.0,0.0,0.0,0.0,0.2,2.7,97.0,27375,7.3,2002,10.0,8.8,12.5,21.3
12847,0.0,94.8,5.2,0.0,0.0,0.0,0.0,0.0,5.7,89.1,13125,16.9,1354,13.1,4.8,26.5,31.3
12849,0.0,99.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,99.2,36341,0.8,159,38.4,0.0,9.4,9.4
12850,0.3971428571428571,97.3,0.2,0.0,0.2,0.0,1.5,0.8,1.2,96.0,36045,14.7,1527,1.6,3.5,24.9,28.4
12853,0.7142857142857143,97.2,0.0,0.0,0.0,0.0,0.0,2.8,0.9,96.3,21497,17.6,1339,5.8,6.0,22.9,28.9
12857,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28056,3.4,497,2.2,5.2,41.4,46.6
12859,0.6553846153846153,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,99.4,35580,12.8,893,2.4,0.4,8.7,9.1
12860,0.0,96.3,0.6,0.0,0.0,0.0,0.0,3.1,0.0,96.3,25227,31.4,577,0.0,6.2,22.4,28.6
12861,9.09,99.7,0.0,0.0,0.3,0.0,0.0,0.0,0.5,99.2,34500,13.9,686,14.0,5.4,35.0,40.4
12863,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,97.8,48864,3.7,275,7.3,7.6,6.5,14.1
12865,5.266,96.5,0.1,0.2,1.9,0.0,0.6,0.8,3.1,93.8,27979,15.1,2006,3.6,3.3,41.0,44.3
12866,0.0,93.0,1.7,0.2,3.3,0.0,0.3,1.6,3.4,90.1,37212,6.3,19535,5.7,2.1,21.6,23.7
12870,0.0,97.7,0.4,0.5,0.3,0.0,0.0,1.1,0.2,97.5,21223,4.6,1889,8.5,7.4,25.0,32.4
12871,1.8133333333333332,93.7,3.9,0.2,1.1,0.0,0.0,1.0,3.6,91.8,32362,4.5,1767,5.3,2.4,37.5,39.9
12873,18.75,99.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,99.9,23287,5.2,413,9.4,4.4,40.9,45.3
12878,0.0,96.3,1.1,0.0,0.5,0.0,0.0,2.1,2.5,95.4,27036,8.4,595,5.9,7.2,32.9,40.1
12883,0.0,97.8,0.8,0.1,0.8,0.0,0.1,0.5,0.3,97.7,25198,11.6,2867,10.8,4.9,39.7,44.6
12884,3.5725,95.7,3.7,0.0,0.0,0.0,0.0,0.7,0.7,95.0,19500,28.3,228,0.0,4.4,69.3,73.7
12885,0.0,98.2,1.0,0.0,0.1,0.0,0.0,0.7,3.6,94.7,25725,14.1,2597,7.7,6.2,34.9,41.1
12886,0.0,95.5,0.0,0.0,0.0,0.0,0.0,4.5,0.0,95.5,38750,10.1,185,0.0,16.2,27.0,43.2
12887,1.15,98.9,0.5,0.0,0.0,0.0,0.6,0.0,0.8,98.7,23790,18.3,2343,5.7,5.6,42.9,48.5
12903,0.0,91.8,2.3,0.0,2.6,0.0,2.2,1.1,2.3,91.7,39688,2.6,693,29.0,6.1,7.1,13.2
12910,0.44642857142857145,82.5,10.9,0.2,0.2,0.1,4.3,1.7,6.2,81.7,28063,16.7,766,6.3,5.7,15.0,20.7
12912,0.6992307692307692,98.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,98.0,32829,6.6,1189,8.4,9.0,31.6,40.6
12913,0.0,99.4,0.0,0.0,0.0,0.0,0.5,0.2,1.5,98.3,32296,8.2,779,6.7,1.3,30.4,31.7
12914,3.6633333333333336,66.4,0.0,29.7,0.1,0.0,0.0,3.8,2.0,64.4,26900,15.5,405,7.4,0.0,33.1,33.1
12916,0.9615384615384616,95.1,0.5,2.0,0.0,0.0,1.0,1.3,0.8,94.7,27934,16.9,980,2.3,0.5,44.0,44.5
12917,0.0,95.1,1.8,0.0,1.1,0.0,0.7,1.3,1.9,94.7,30665,16.6,669,3.7,1.9,31.8,33.7
12918,0.8092307692307692,93.4,0.7,1.7,3.8,0.0,0.0,0.5,0.3,93.1,37708,4.1,1107,17.0,12.7,16.4,29.1
12919,0.0,97.2,0.1,0.1,0.1,0.0,0.0,2.6,0.3,96.8,22625,21.7,1331,5.6,5.7,28.1,33.8
12920,2.2114285714285717,94.3,3.9,0.2,0.3,0.0,0.3,1.0,1.2,93.6,31393,20.3,1545,5.6,4.9,38.1,43.0
12921,0.8525,95.1,0.8,0.0,0.7,0.0,3.2,0.2,2.0,93.9,30092,6.8,1179,4.9,3.6,28.2,31.8
12923,0.0,98.3,0.7,0.0,0.7,0.0,0.0,0.3,0.2,98.2,25000,17.5,347,1.7,11.2,35.4,46.6
12924,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,28512,10.8,108,0.0,0.0,23.1,23.1
12926,1.3233333333333333,98.1,0.5,0.5,0.0,0.0,0.2,0.6,2.3,96.2,23980,12.3,1029,5.5,4.6,26.7,31.3
12928,0.0,98.1,0.1,0.7,0.6,0.0,0.1,0.5,0.1,98.1,28598,13.2,1142,5.3,4.5,31.4,35.9
12929,0.4523076923076923,44.1,42.4,0.0,0.0,0.0,12.9,0.6,16.5,40.6,23074,14.0,373,19.8,4.3,53.9,58.2
12930,0.0,87.9,0.5,0.6,1.5,5.6,0.0,3.8,1.1,87.2,26964,23.0,368,3.8,4.1,31.5,35.6
12932,0.0,94.0,1.9,0.0,0.4,0.0,1.1,2.7,4.0,92.7,29447,13.4,796,10.9,6.4,36.2,42.6
12934,1.7358333333333331,98.4,0.1,0.0,0.8,0.0,0.0,0.6,0.8,98.2,23179,16.8,447,4.9,4.0,32.7,36.7
12935,1.9815384615384617,97.1,0.4,0.9,0.0,0.0,0.0,1.6,1.8,96.6,24890,12.2,913,4.9,3.0,18.9,21.9
12936,0.0,98.5,0.2,0.0,1.3,0.0,0.0,0.0,0.0,98.5,36771,12.4,527,6.1,4.4,56.5,60.9
