,Percent Elevated Lead Cases,One race - White,One race - Black or African American,One race - American Indian and Alaska Native,One race - Asian,One race - Native Hawaiian and Other Pacific Islander,One race - Some other race,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Median Income,Population for whom poverty status is determined - Below 100 percent of the poverty level,Total Housing Units,% of housing units built 1950 - 1959,% built 1940 - 1949,% built 1939 or earlier,% of housing units built before 1950
10919,1.9481818181818185,97.7,0.8,0.0,0.6,0.0,0.9,0.0,7.7,90.0,36285,5.4,455,17.1,8.6,28.1,36.7
10920,0.0,81.9,1.9,0.3,10.0,0.0,2.5,3.3,15.9,70.3,41634,7.7,3092,6.8,6.1,16.5,22.6
10921,4.35,83.3,5.3,1.3,0.8,0.0,3.5,5.7,13.8,77.0,36199,2.8,1417,11.6,5.6,22.3,27.9
10922,0.0,75.1,6.0,0.9,2.6,0.0,14.6,0.9,18.0,71.7,42981,3.8,699,9.0,9.7,36.3,46.0
10923,0.0,62.5,10.3,0.0,6.5,0.0,17.2,3.6,38.2,42.8,29494,11.2,2744,18.4,2.8,13.3,16.1
10924,0.0,84.6,6.1,0.1,2.1,0.0,4.0,3.2,13.4,77.2,34341,6.4,4960,8.4,2.4,24.5,26.9
10925,0.5285714285714286,82.5,1.8,2.2,0.4,0.0,0.2,13.0,19.1,75.8,37450,7.1,2260,17.5,24.6,24.2,48.8
10926,0.0,58.4,18.7,0.0,4.5,0.0,15.9,2.6,26.6,49.2,37869,8.9,1411,2.8,0.8,22.8,23.6
10927,0.0,45.3,11.2,0.0,1.7,0.0,39.7,2.1,68.7,20.4,24260,16.3,3849,3.8,5.1,42.8,47.9
10928,2.6966666666666668,69.7,17.6,0.3,4.7,0.0,3.0,4.8,13.7,59.8,43005,4.5,1995,15.6,13.3,40.9,54.2
10930,0.0,82.1,6.8,0.0,4.8,0.0,4.7,1.6,17.0,70.8,50865,6.2,3121,3.4,2.1,12.3,14.4
10931,1.836363636363636,37.6,22.5,5.1,3.2,0.0,19.3,12.4,26.7,31.7,30208,11.0,385,8.1,7.0,56.9,63.9
10940,1.968333333333333,56.8,18.4,0.2,3.4,0.1,16.4,4.8,32.5,44.6,29111,15.6,20063,9.7,5.2,27.2,32.4
10941,0.0,58.3,21.1,1.0,5.7,0.0,8.2,5.8,22.2,47.9,32003,7.6,5181,4.6,1.5,5.7,7.2
10950,1.0791666666666666,87.0,2.9,0.3,2.8,0.0,5.1,1.9,12.0,81.1,35453,25.5,14059,9.2,5.0,11.4,16.4
10952,0.0,91.9,4.6,0.0,1.7,0.0,1.3,0.6,2.6,90.9,24834,33.7,9726,9.0,1.4,3.2,4.6
10953,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,76250,0.0,90,0.0,0.0,27.8,27.8
10954,7.145,64.6,15.0,0.3,12.5,0.0,3.9,3.6,13.7,56.6,41495,6.9,8805,12.6,2.5,6.0,8.5
10956,0.0,75.1,8.7,0.1,10.3,0.0,2.8,3.1,9.6,69.9,49862,4.1,10694,17.9,2.9,6.5,9.4
10958,1.4874999999999998,89.3,7.2,0.0,0.3,0.0,2.6,0.5,15.1,77.4,37955,2.8,1114,8.7,4.8,29.4,34.2
10960,0.0,72.4,16.8,0.2,3.6,0.1,2.7,4.3,16.4,59.8,40740,10.2,6988,11.8,7.7,38.6,46.3
10962,0.0,80.5,4.9,0.3,12.0,0.0,1.3,1.0,7.5,75.0,41641,6.5,1920,19.2,1.8,3.9,5.7
10963,0.7441666666666666,63.3,19.7,0.4,2.9,0.0,7.1,6.6,20.8,55.4,24058,15.1,1054,2.8,6.1,36.3,42.4
10964,1.2990909090909093,83.5,1.9,0.8,12.0,0.0,0.0,1.8,4.1,79.4,47589,7.9,565,23.4,2.1,24.4,26.5
10965,0.0,88.4,2.5,1.5,4.4,0.0,2.3,0.8,8.1,83.0,46478,6.2,5712,26.8,6.5,17.1,23.6
10968,0.6407692307692308,81.9,4.4,0.0,8.1,0.0,1.7,3.9,11.6,72.1,53628,5.1,1244,2.7,6.3,34.5,40.8
10969,0.8928571428571429,87.9,4.3,0.0,3.2,0.0,0.0,4.5,5.5,83.1,40259,1.6,500,17.4,1.6,27.2,28.8
10970,0.0,55.9,22.0,0.0,9.4,0.0,6.3,6.4,20.0,50.2,41329,6.2,3806,3.9,1.1,3.9,5.0
10973,0.0,88.4,5.3,0.4,1.3,0.0,3.4,1.3,4.9,87.3,40528,2.7,861,5.6,4.1,23.7,27.8
10974,0.0,90.2,5.6,0.0,1.4,0.0,1.8,0.9,14.7,80.2,40027,5.4,1197,21.2,5.8,29.6,35.4
10976,0.34,75.0,8.7,0.4,6.5,0.1,8.6,0.7,15.0,70.8,21543,13.8,783,2.4,4.6,30.3,34.9
10977,0.695,51.1,28.3,0.1,3.2,0.0,15.4,1.9,22.8,45.0,25581,26.4,16664,13.3,5.0,9.3,14.3
10980,0.0,77.3,10.1,0.2,2.2,0.0,7.3,3.0,18.6,69.7,40035,7.3,5093,18.2,1.9,13.1,15.0
10983,0.0,77.4,0.8,0.0,15.6,0.0,2.6,3.5,11.9,71.0,46315,3.2,1962,12.2,4.3,17.7,22.0
10984,0.588,74.9,12.8,0.0,3.5,0.0,6.6,2.3,30.5,54.5,40553,2.8,983,4.9,1.3,4.9,6.2
10985,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,37027,5.7,50,0.0,0.0,20.0,20.0
10986,0.0,90.2,2.3,0.0,1.3,0.0,2.1,4.2,11.6,84.8,50594,3.6,624,9.5,7.4,12.0,19.4
10987,0.0,87.5,4.9,0.0,4.2,0.0,1.8,1.6,8.1,82.3,55543,3.1,1523,4.4,2.2,35.9,38.1
10988,0.0,84.1,1.7,0.0,0.0,0.0,10.1,4.2,24.7,69.4,42604,3.0,352,4.3,0.0,50.6,50.6
10989,0.0,70.3,5.7,0.2,15.4,0.0,3.4,5.0,18.2,59.0,47808,1.7,3641,9.6,2.0,7.8,9.8
10990,0.0,85.3,7.3,0.5,2.1,0.3,2.6,1.9,6.4,82.8,40356,4.5,7839,8.3,2.5,21.3,23.8
10992,0.0,82.7,5.5,0.1,1.0,0.0,9.3,1.4,19.3,73.9,37908,4.5,3369,5.2,3.0,11.1,14.1
10996,0.0,79.5,6.1,0.4,4.4,0.0,3.2,6.3,10.3,73.3,12017,1.3,864,5.2,0.7,28.9,29.6
10998,0.4111111111111112,88.8,2.9,1.0,0.3,0.0,6.4,0.6,13.9,82.0,36615,5.4,1076,3.1,3.7,24.3,28.0
11001,0.0,68.5,5.5,0.1,18.6,0.0,4.8,2.6,11.8,62.3,43865,3.4,9473,24.8,13.7,44.9,58.6
11004,0.0,43.0,7.4,0.7,38.7,0.3,5.4,4.6,14.2,34.7,41636,6.2,5223,49.1,26.3,5.5,31.8
11010,10.0025,77.4,1.4,0.0,10.6,0.0,7.9,2.7,17.6,68.7,40066,3.8,8155,40.5,26.4,14.7,41.1
11020,0.0,39.5,13.3,0.3,40.1,0.0,5.8,0.9,7.3,38.4,48125,3.4,1957,30.5,18.1,31.7,49.8
11021,0.0,73.1,2.0,0.6,20.7,0.0,2.0,1.6,6.1,69.4,53046,7.0,8457,26.3,17.0,24.4,41.4
11023,3.03,88.9,0.8,0.0,8.4,0.0,0.8,1.0,4.4,85.8,42133,5.5,3168,25.1,14.7,31.2,45.9
11030,8.055,81.4,0.7,0.2,15.4,0.0,0.5,1.9,5.1,77.1,69876,2.6,6702,12.1,10.3,36.8,47.1
11040,7.13,50.5,1.4,0.2,38.9,0.2,6.4,2.5,11.9,44.3,45182,3.9,13261,36.3,30.3,13.2,43.5
11050,8.89,81.5,1.8,0.1,11.4,0.0,3.8,1.3,15.6,70.0,49799,5.5,12088,22.1,9.2,24.1,33.3
11101,0.0,46.5,16.7,0.5,20.7,0.1,10.8,4.7,27.5,33.4,35593,18.6,15249,4.5,18.2,39.3,57.5
11103,0.0,70.1,2.7,0.2,15.3,0.1,8.1,3.5,23.5,56.9,36870,13.4,18102,13.7,16.3,46.4,62.7
11104,0.0,68.9,1.5,0.1,21.0,0.0,5.9,2.6,30.8,45.3,36969,13.2,12389,12.7,22.0,53.5,75.5
11105,0.0,74.3,2.5,0.3,13.7,0.0,6.6,2.6,21.4,60.7,38189,9.8,17039,13.9,18.3,47.4,65.7
11354,0.0,20.7,3.6,0.2,62.4,0.0,10.4,2.7,16.0,16.4,22272,21.0,22580,21.2,14.7,19.0,33.7
11355,0.0,12.8,3.3,0.6,72.7,0.1,8.1,2.4,14.0,8.1,20435,23.0,30375,19.1,17.9,19.2,37.1
11357,0.0,69.8,0.5,0.2,22.6,0.0,3.9,2.9,14.5,59.9,35469,5.4,16133,36.8,12.6,14.8,27.4
11358,0.0,43.5,1.2,0.2,44.9,0.0,7.8,2.4,16.5,35.9,32065,9.9,13885,19.8,22.0,38.9,60.9
11367,0.0,56.1,8.1,0.3,26.5,0.0,4.8,4.3,17.5,46.5,30174,13.5,15817,37.4,27.9,8.8,36.7
11369,0.0,27.1,15.8,0.2,13.4,0.0,40.2,3.3,64.1,7.3,24311,15.7,12813,22.2,15.5,40.1,55.6
11370,0.0,42.0,14.2,1.2,22.2,0.0,18.6,1.8,38.3,24.6,27193,12.3,10192,26.7,17.1,22.9,40.0
11373,0.0,24.2,2.4,0.6,50.7,0.0,19.6,2.5,38.7,6.9,23679,18.1,33903,20.9,15.6,25.8,41.4
11375,0.0,61.9,2.6,0.3,28.4,0.1,2.5,4.1,15.1,50.8,47471,9.5,35211,25.0,23.7,24.2,47.9
